Cas,Teplota1,Teplota2,Ventil1,Ventil2
17:17:54,26.81,27.12,1,1
17:17:55,26.81,27.19,0,0
17:17:56,26.81,27.12,0,0
17:17:59,26.81,27.12,0,0
17:18:01,26.81,27.12,0,0
17:18:04,26.81,27.19,0,0
17:18:05,26.81,27.19,0,0
17:18:09,26.81,27.19,0,0
17:35:45,26.87,27.12,1,1
17:36:09,26.87,27.12,1,1
17:36:12,26.87,27.12,0,0
17:36:14,26.87,27.12,0,0
17:36:17,26.87,27.12,0,0
17:36:19,26.87,27.12,0,0
17:36:22,26.87,27.12,0,0
17:48:11,26.94,27.19,1,1
17:48:14,26.94,27.19,0,0
17:48:15,26.94,27.19,0,0
17:48:18,26.94,27.19,0,0
17:48:20,26.94,27.19,0,0
17:48:23,26.94,27.19,0,0
17:48:25,26.94,27.19,0,0
17:48:28,26.94,27.19,0,0
17:48:30,26.94,27.19,0,0
17:48:33,26.94,27.19,0,0
17:48:35,26.94,27.19,0,0
17:48:38,26.94,27.19,0,0
17:48:40,26.94,27.19,0,0
17:48:43,26.94,27.19,0,0
17:48:44,26.94,27.19,0,0
17:48:47,26.94,27.19,0,0
17:48:49,26.94,27.19,0,0
17:48:52,26.94,27.19,0,0
17:48:54,26.94,27.19,0,0
17:48:57,26.94,27.19,0,0
17:48:59,26.94,27.19,0,0
17:49:02,26.94,27.19,0,0
17:49:04,26.94,27.19,0,0
17:49:07,26.94,27.19,0,0
17:49:09,26.94,27.19,0,0
17:49:12,26.94,27.19,0,0
17:49:14,26.94,27.19,0,0
17:49:17,26.94,27.19,0,0
17:49:18,26.94,27.19,0,0
17:49:21,26.94,27.19,0,0
17:54:30,26.94,27.19,1,1
17:54:31,27.0,27.19,0,0
16:43:31,26.44,26.5,1,1
16:43:34,26.44,26.5,0,0
16:43:36,26.5,26.5,0,0
16:57:20,26.56,26.62,1,1
16:57:22,26.56,26.62,0,0
16:57:25,26.56,26.62,0,0
16:57:27,26.56,26.62,0,0
16:57:35,26.56,26.62,1,1
16:58:18,26.56,26.62,0,0
16:58:19,26.56,26.62,0,0
16:58:20,26.56,26.62,0,0
16:58:21,26.56,26.62,0,0
16:58:22,26.56,26.62,0,0
16:58:23,26.56,26.62,0,0
16:58:24,26.56,26.62,0,0
16:58:25,26.56,26.62,0,0
16:58:26,26.56,26.62,0,0
16:58:27,26.56,26.62,0,0
16:58:28,26.56,26.62,0,0
16:58:29,26.56,26.62,0,0
16:58:30,26.56,26.62,0,0
16:58:31,26.56,26.62,0,0
16:58:32,26.56,26.62,0,0
16:58:33,26.56,26.62,0,0
16:58:34,26.56,26.62,0,0
16:58:35,26.56,26.62,0,0
16:58:36,26.56,26.62,0,0
16:58:37,26.56,26.62,0,0
16:58:38,26.56,26.62,0,0
16:58:39,26.56,26.62,0,0
16:58:40,26.56,26.69,0,0
16:58:41,26.56,26.69,0,0
16:58:43,26.56,26.62,0,0
16:58:44,26.56,26.62,0,0
16:58:45,26.56,26.62,0,0
16:58:46,26.56,26.62,0,0
16:58:47,26.56,26.62,0,0
16:58:48,26.56,26.62,0,0
16:58:51,26.56,26.62,0,0
16:58:53,26.56,26.62,0,0
16:58:58,26.56,26.62,0,0
16:59:01,26.56,26.62,0,0
16:59:03,26.56,26.62,0,0
16:59:06,26.56,26.69,0,0
16:59:08,26.56,26.62,0,0
16:59:11,26.56,26.62,0,0
16:59:13,26.56,26.62,0,0
16:59:16,26.56,26.62,0,0
16:59:18,26.56,26.62,0,0
16:59:21,26.56,26.62,1,1
16:59:22,26.56,26.62,1,1
16:59:25,26.56,26.62,1,1
16:59:27,26.56,26.62,1,1
16:59:30,26.56,26.69,1,1
16:59:32,26.56,26.62,1,1
16:59:35,26.56,26.62,1,1
17:09:38,26.62,26.69,1,1
17:09:41,26.62,26.69,0,0
17:09:43,26.62,26.69,0,0
17:09:47,26.62,26.69,0,0
17:09:48,26.62,26.69,0,0
17:09:51,26.62,26.69,0,0
17:09:53,26.62,26.69,0,0
17:09:56,26.62,26.69,0,0
17:09:58,26.62,26.69,0,0
17:27:16,26.62,26.69,1,1
17:27:19,26.69,26.69,0,0
17:27:21,26.69,26.69,0,0
17:27:24,26.69,26.69,0,0
17:27:26,26.69,26.69,0,0
17:27:29,26.69,26.69,0,0
17:27:31,26.69,26.69,0,0
17:27:34,26.69,26.69,0,0
17:27:35,26.69,26.69,0,0
17:27:38,26.69,26.69,0,0
17:27:40,26.69,26.69,0,0
17:27:43,26.69,26.69,0,0
17:27:45,26.69,26.69,0,0
17:27:48,26.69,26.69,0,0
17:27:50,26.69,26.69,0,0
17:27:53,26.69,26.69,0,0
17:27:55,26.69,26.69,0,0
17:27:58,26.69,26.69,0,0
17:28:00,26.69,26.69,0,0
17:28:03,26.69,26.69,0,0
17:28:05,26.69,26.69,0,0
17:28:08,26.69,26.69,0,0
17:28:10,26.69,26.69,0,0
17:28:13,26.69,26.69,0,0
17:28:15,26.69,26.69,0,0
17:28:18,26.62,26.69,1,1
17:28:19,26.69,26.69,1,1
17:28:22,26.69,26.69,1,1
17:28:24,26.62,26.69,1,1
17:28:27,26.62,26.69,1,1
17:28:29,26.62,26.69,1,1
17:28:32,26.69,26.69,1,1
17:28:34,26.69,26.69,1,1
17:28:37,26.69,26.69,1,1
17:28:39,26.69,26.69,1,1
17:28:42,26.62,26.69,1,1
17:28:44,26.62,26.69,1,1
17:28:46,26.62,26.69,1,1
17:28:49,26.69,26.69,0,0
17:28:51,26.69,26.69,0,0
17:28:54,26.69,26.69,0,0
17:28:56,26.69,26.69,0,0
17:28:59,26.69,26.69,0,0
17:29:01,26.69,26.69,0,0
17:29:03,26.69,26.69,0,0
17:29:06,26.69,26.69,1,1
17:29:08,26.69,26.69,1,1
17:29:11,26.69,26.69,1,1
17:29:13,26.69,26.69,1,1
17:29:16,26.69,26.69,1,1
17:29:18,26.62,26.69,1,1
17:38:55,26.69,26.62,1,1
17:38:58,26.69,26.69,0,0
17:39:00,26.69,26.69,0,0
17:39:03,26.69,26.69,0,0
17:39:05,26.69,26.69,0,0
17:39:08,26.69,26.69,0,0
17:39:10,26.69,26.69,0,0
17:39:13,26.69,26.69,0,0
17:39:15,26.69,26.62,0,0
17:39:18,26.69,26.69,0,0
17:55:29,26.75,26.69,1,1
17:55:32,26.75,26.75,0,0
18:16:41,26.87,27.0,1,1
18:17:34,26.87,27.0,1,1
18:17:37,26.94,27.06,0,0
18:17:39,26.94,27.06,0,0
18:17:42,26.94,27.06,0,0
18:17:44,26.94,27.0,0,0
18:17:47,26.94,27.06,0,0
18:17:49,26.94,27.06,0,0
18:17:52,26.94,27.06,0,0
18:17:53,26.94,27.06,0,0
18:17:56,26.94,27.06,0,0
18:17:58,26.94,27.06,0,0
18:18:01,26.94,27.06,0,0
18:18:03,26.94,27.06,0,0
18:18:06,26.94,27.06,0,0
18:18:08,26.94,27.06,0,0
18:18:11,26.94,27.06,0,0
18:18:13,26.94,27.0,0,0
18:18:15,26.94,27.06,0,0
18:18:18,26.94,27.0,1,1
18:18:20,26.94,27.0,1,1
18:18:23,26.94,27.0,1,1
18:18:25,26.87,27.0,1,1
18:18:28,26.94,27.0,1,1
18:18:30,26.94,27.0,1,1
18:18:33,26.94,27.0,1,1
18:18:35,26.87,27.0,1,1
18:18:38,26.94,27.0,1,1
18:18:40,26.94,27.06,1,1
18:18:43,26.94,27.0,1,1
18:18:44,26.94,27.0,1,1
18:18:48,26.94,27.0,1,1
18:18:49,26.87,27.06,1,1
18:18:52,26.94,27.0,1,1
18:18:54,26.87,27.06,1,1
18:18:57,26.94,27.0,1,1
18:18:59,26.94,27.0,1,1
18:19:02,26.94,27.06,1,1
18:19:04,26.87,27.06,1,1
18:19:07,26.87,27.06,1,1
18:19:09,26.94,27.06,1,1
18:19:12,26.94,27.06,1,1
18:19:14,26.94,27.0,1,1
18:19:17,26.94,27.06,1,1
18:19:19,26.87,27.0,1,1
18:19:22,26.94,27.06,1,1
18:19:23,26.94,27.0,1,1
18:19:26,26.94,27.0,1,1
18:19:28,26.87,27.06,1,1
18:19:31,26.94,27.06,1,1
18:19:33,26.94,27.06,1,1
18:21:50,26.94,27.06,1,1
18:21:53,26.94,27.06,0,0
18:21:54,26.94,27.06,0,0
18:21:57,26.94,27.12,0,0
18:21:59,26.94,27.12,0,0
18:22:02,26.94,27.06,0,0
18:22:04,26.94,27.12,0,0
18:22:07,26.94,27.06,0,0
18:22:09,26.94,27.06,0,0
18:22:12,26.94,27.12,0,0
18:22:14,26.94,27.12,0,0
18:22:17,26.94,27.06,0,0
18:22:19,26.94,27.06,0,0
18:22:22,26.94,27.12,0,0
18:22:24,26.94,27.12,0,0
18:22:27,26.94,27.06,0,0
18:22:28,26.94,27.12,0,0
18:22:31,26.94,27.12,0,0
18:22:33,26.94,27.12,0,0
18:22:36,26.94,27.06,0,0
18:22:38,26.94,27.12,0,0
18:22:41,26.94,27.12,0,0
18:22:43,26.94,27.12,0,0
19:10:54,27.19,27.37,1,1
19:10:56,27.19,27.44,0,0
14:17:11,27.81,27.31,1,1
14:17:12,27.81,27.31,0,0
14:17:13,27.81,27.31,0,0
14:17:22,27.81,27.31,1,1
14:17:25,27.81,27.31,0,0
14:17:27,27.81,27.31,0,0
14:17:29,27.81,27.31,0,0
14:17:33,27.81,27.31,1,1
14:17:34,27.81,27.31,1,1
14:17:37,27.81,27.31,1,1
14:17:39,27.81,27.31,1,1
14:17:42,27.81,27.31,1,1
14:17:44,27.81,27.31,1,1
14:17:47,27.81,27.31,1,1
14:17:49,27.81,27.31,1,1
14:17:52,27.81,27.31,1,1
14:17:54,27.81,27.31,1,1
14:17:57,27.81,27.31,1,1
14:17:59,27.81,27.31,1,1
14:18:02,27.81,27.31,1,1
14:18:04,27.81,27.31,1,1
14:18:07,27.87,27.31,1,0
14:18:08,27.81,27.31,1,0
14:18:11,27.81,27.37,1,0
14:18:13,27.87,27.37,1,0
14:18:16,27.87,27.37,1,0
14:18:18,27.87,27.37,1,0
14:18:21,27.87,27.37,1,0
14:18:23,27.87,27.37,1,0
14:18:26,27.87,27.37,1,0
14:18:28,27.87,27.37,1,0
14:18:31,27.87,27.37,1,0
14:18:33,27.87,27.37,1,0
14:18:36,27.87,27.37,1,0
14:18:38,27.87,27.37,1,0
14:18:41,27.87,27.37,1,0
14:18:42,27.87,27.37,1,0
14:18:45,27.87,27.37,1,0
14:18:47,27.87,27.37,1,0
14:18:50,27.87,27.37,1,0
14:18:52,27.87,27.37,1,0
14:18:55,27.87,27.37,1,0
14:18:57,27.87,27.37,1,0
14:19:00,27.94,27.37,1,0
14:19:02,27.87,27.37,1,0
14:19:05,27.94,27.37,1,0
14:19:07,27.94,27.37,1,0
14:19:10,27.94,27.37,1,0
14:19:12,27.94,27.37,1,0
14:19:15,27.94,27.37,1,0
14:19:16,27.94,27.37,1,0
14:19:19,27.94,27.37,1,0
14:19:21,27.94,27.37,1,0
14:19:24,27.94,27.37,1,0
14:19:26,28.0,27.44,1,0
14:19:29,28.0,27.44,1,0
14:19:31,28.0,27.44,1,0
14:19:34,28.0,27.44,1,0
14:19:36,28.0,27.44,1,0
14:19:39,28.0,27.44,1,0
14:19:41,28.0,27.44,1,0
14:19:44,28.0,27.44,1,0
14:19:46,28.0,27.44,1,0
14:19:49,28.0,27.44,1,0
14:19:51,28.0,27.44,1,0
14:19:54,28.0,27.44,1,0
14:19:55,28.0,27.44,1,0
14:54:37,28.44,27.94,1,1
14:55:38,28.5,27.94,0,0
14:56:40,28.5,27.94,0,0
14:57:41,28.5,27.94,1,1
14:58:43,28.5,27.94,1,1
14:59:44,28.56,27.94,1,1
15:53:43,28.56,27.81,1,1
